公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002375,亚厦股份,浙江亚厦装饰股份有限公司,"ZHEJIANG YASHA DECORATION CO.,LTD.",浙江省上虞市章镇工业新区,2375,亚厦股份
002376,新北洋,山东新北洋信息技术股份有限公司,"Shandong New Beiyang Information Technology Co.,Ltd.",山东省威海市火炬高技术产业开发区火炬路169号,2376,新北洋
002377,国创高新,湖北国创高新材料股份有限公司,"Hubei Guochuang Hi-Tech Material Co.,Ltd",湖北省武汉市东湖开发区华光大道18号,2377,国创高新
002378,章源钨业,崇义章源钨业股份有限公司,"Chongyi Zhangyuan Tungsten Co., Ltd.",江西省赣州市崇义县城塔下,2378,章源钨业
002379,鲁丰环保,鲁丰环保科技股份有限公司,"Loften Environmental Technology Co.,Ltd",山东省博兴县滨博大街1568号,2379,鲁丰环保
002380,科远股份,南京科远自动化集团股份有限公司,"Nanjing Keyuan Automatic Corporation Co.,Ltd",江苏省南京市江宁区秣陵街道清水亭东路1266号,2380,科远股份
002381,双箭股份,浙江双箭橡胶股份有限公司,"ZHEJIANG DOUBLE ARROW RUBBER CO., LTD.",浙江省桐乡市洲泉镇晚村,2381,双箭股份
002382,蓝帆股份,山东蓝帆塑胶股份有限公司,"SHANDONG BLUE SAIL PLASTIC & RUBBER CO.,LTD.",山东省淄博市齐鲁化学工业区清田路21号,2382,蓝帆股份
002383,合众思壮,北京合众思壮科技股份有限公司,"Beijing UniStrong Science&Technology Co.,Ltd.",北京市海淀区知春路118号知春大厦1501室,2383,合众思壮
002384,东山精密,苏州东山精密制造股份有限公司,"Suzhou Dongshan Precision manufacturing Co., Ltd",江苏省苏州市吴中区东山上湾村,2384,东山精密
002385,大北农,北京大北农科技集团股份有限公司,"Beijing DBN Technology Group Co.,Ltd",北京市海淀区中关村大街27号中关村大厦14层,2385,大北农
002386,天原集团,宜宾天原集团股份有限公司,"YIBIN TIANYUAN GROUP CO., LTD.",四川省宜宾市下江北,2386,天原集团
