公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002494,华斯股份,华斯农业开发股份有限公司,HUASI AGRICULTURAL DEVELOPMENT COMPANY LIMITED,河北省肃宁县尚村镇,2494,华斯股份
002495,佳隆股份,广东佳隆食品股份有限公司,"Guangdong Jialong Food Co., Ltd.",广东省普宁市池尾工业区上寮园256幢0138号,2495,佳隆股份
002496,辉丰股份,江苏辉丰农化股份有限公司,"JIANGSU HUIFENG AGROCHEMICAL CO.,LTD.",江苏省大丰市海洋经济开发区南区纬二路（王港闸南首）,2496,辉丰股份
002497,雅化集团,四川雅化实业集团股份有限公司,"Sichuan Yahua Industrial Group Co.,LTD",四川省雅安市雨城区陇西路20号,2497,雅化集团
002498,汉缆股份,青岛汉缆股份有限公司,"Qingdao Hanhe Cable Co., Ltd",山东省青岛市崂山区九水东路628号,2498,汉缆股份
002499,科林环保,科林环保装备股份有限公司,"Kelin Environmental Protection Equipment,Inc.",江苏省吴江市松陵镇八坼社区,2499,科林环保
002500,山西证券,山西证券股份有限公司,SHANXI SECURITIES COMPANY LIMITED,山西省太原市府西街69号山西国际贸易中心东塔楼,2500,山西证券
002501,利源精制,吉林利源精制股份有限公司,"Jilin Liyuan Precision Manufacturing Co., Ltd.",吉林省辽源民营经济开发区友谊工业园区,2501,利源精制
002502,骅威股份,骅威科技股份有限公司,"HUAWEI TECHNOLOGY CO.,LTD",广东省汕头市澄海区澄华工业区玉亭路,2502,骅威股份
002503,搜于特,东莞市搜于特服装股份有限公司,"DONGGUAN SOUYUTE FASHION CO.,LTD",广东省东莞市道滘镇昌平第二工业区第一栋,2503,搜于特
002504,东光微电,江苏东光微电子股份有限公司,"Jiangsu Dongguang Micro-electronics Co.,Ltd.",江苏省宜兴环科园绿园路42号,2504,东光微电
002505,大康牧业,湖南大康牧业股份有限公司,"HUNAN DAKANG PASTURE FARMING CO.,LTD",湖南省怀化市鹤城区鸭嘴岩工业园3栋,2505,大康牧业
002506,*ST超日,上海超日太阳能科技股份有限公司,"Shanghai Chaori Solar Energy Science &Technology CO., LTD.",上海市奉贤区南桥镇江海经济园区,2506,*ST超日
002507,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,"Chongqing Fuling Zhacai Group Co., Ltd.",重庆市涪陵区江北街道办事处二渡村一组,2507,涪陵榨菜
002508,老板电器,杭州老板电器股份有限公司,"Hangzhou Robam Appliances Co., Ltd.",浙江省杭州余杭区余杭经济开发区临平大道592号,2508,老板电器
002509,天广消防,天广消防股份有限公司,"TianGuang Fire-Fighting Co.,Ltd.",福建省南安市成功科技开发区,2509,天广消防
002510,天汽模,天津汽车模具股份有限公司,"TIANJIN MOTOR DIES CO.,LTD.",天津市天津空港经济区航天路77号,2510,天汽模
002511,中顺洁柔,中顺洁柔纸业股份有限公司,"C&S Paper Co., Ltd.",广东省中山市东升镇坦背胜龙村,2511,中顺洁柔
002512,达华智能,中山达华智能科技股份有限公司,"ZHONGSHAN TATWAH SMARTECH CO., LTD",广东省中山市小榄镇泰丰工业区水怡南路9号,2512,达华智能
002513,蓝丰生化,江苏蓝丰生物化工股份有限公司,"Jiangsu Lanfeng Bio-chemical Co.,Ltd.",江苏省新沂经济开发区苏化路1号,2513,蓝丰生化
002514,宝馨科技,苏州宝馨科技实业股份有限公司,"SUZHOU BOAMAX TECHNOLOGIES GROUP CO.,LTD.",江苏省苏州高新区浒墅关经济开发区新亭路10号,2514,宝馨科技
002515,金字火腿,金字火腿股份有限公司,"JINZI HAM CO.,LTD.",浙江省金华市工业园区金帆街1000号,2515,金字火腿
002516,江苏旷达,江苏旷达汽车织物集团股份有限公司,"Jiangsu Kuangda Automobile Textile Group Co., Ltd.",江苏省常州市武进区湖塘镇人民东路109号,2516,江苏旷达
002517,泰亚股份,泰亚鞋业股份有限公司,"TAIYA SHOES CO.,LTD.",福建省泉州市经济技术开发区清濛园区美泰路36号,2517,泰亚股份
002518,科士达,深圳科士达科技股份有限公司,"SHENZHEN KSTAR SCIENCE & TECHNOLOGY CO.,LTD",广东省深圳市南山区高新北区科技中二路软件园1栋4楼401、402室,2518,科士达
002519,银河电子,江苏银河电子股份有限公司,"JIANG SU YIN HE ELECTRONICS CO.,LTD.",江苏省张家港市塘桥镇南环路188号,2519,银河电子
002520,日发精机,浙江日发精密机械股份有限公司,"Zhejiang RIFA Precision Machinery Co., Ltd.",浙江省新昌县七星街道日发数码科技园,2520,日发精机
002521,齐峰新材,齐峰新材料股份有限公司,"QIFENG NEW MATERIAL CO.,LTD.",山东省淄博市临淄区朱台镇朱台路22号,2521,齐峰新材
002522,浙江众成,浙江众成包装材料股份有限公司,"Zhejiang Zhongcheng Packing Material Co., Ltd",浙江省嘉善县经济开发区柳溪路,2522,浙江众成
002523,天桥起重,株洲天桥起重机股份有限公司,"Zhuzhou Tianqiao Crane Co., Ltd.",湖南省株洲市石峰区田心北门,2523,天桥起重
002524,光正集团,光正集团股份有限公司,"Guangzheng Group Co.,Ltd.",新疆维吾尔自治区乌鲁木齐经济技术开发区上海路105号,2524,光正集团
002526,山东矿机,山东矿机集团股份有限公司,"SHANDONG MINING MACHINERY GROUP CO., LTD.",山东省昌乐县经济开发区大沂路北段,2526,山东矿机
002527,新时达,上海新时达电气股份有限公司,Shanghai STEP Electric Corporation,上海市嘉定区南翔镇新丰村新勤路289号,2527,新时达
002528,英飞拓,深圳英飞拓科技股份有限公司,SHEN ZHEN INFINOVA LIMITED,广东省深圳市宝安区观澜高新技术产业园英飞拓厂房,2528,英飞拓
002529,海源机械,福建海源自动化机械股份有限公司,"FUJIAN HAIYUAN AUTOMATIC EQUIPMENTS CO., LTD",福建省福州市闽侯县荆溪镇铁岭北路2号,2529,海源机械
002530,丰东股份,江苏丰东热技术股份有限公司,"JIANGSU FENGDONG THERMAL TECHNOLOGY CO.,LTD.",江苏省大丰市经济开发区南翔西路333号,2530,丰东股份
002531,天顺风能,天顺风能（苏州）股份有限公司,"Titan Wind Energy (Suzhou) Co.,LTD",江苏省苏州市太仓经济开发区宁波东路28号,2531,天顺风能
002532,新界泵业,新界泵业集团股份有限公司,"SHIMGE PUMP INDUSTRY GROUP CO.,LTD.",浙江省温岭市大溪镇大洋城工业区,2532,新界泵业
002533,金杯电工,金杯电工股份有限公司,"Goldcup Electric Apparatus Co.,Ltd.",湖南省长沙市高新技术产业开发区东方红中路580号,2533,金杯电工
002534,杭锅股份,杭州锅炉集团股份有限公司,"Hangzhou Boiler Group Co., Ltd.",浙江省杭州市江干区大农港路1216号,2534,杭锅股份
002535,林州重机,林州重机集团股份有限公司,"Linzhou Heavy Machinery Group Co., Ltd.",河南省林州市河顺镇申村,2535,林州重机
002536,西泵股份,河南省西峡汽车水泵股份有限公司,"Henan Province Xixia Automobile Water Pump Co.,Ltd.",河南省西峡县工业大道,2536,西泵股份
002537,海立美达,青岛海立美达股份有限公司,"QINGDAO HAILI METAL ONE CO.,LTD.",山东省青岛即墨市青威路1626号,2537,海立美达
002538,司尔特,安徽省司尔特肥业股份有限公司,"ANHUI SIERTE FERTILIZER INDUSTRY LTD.,COMPANY",安徽省宁国经济技术开发区,2538,司尔特
002539,新都化工,成都市新都化工股份有限公司,"Shindoo Chemical Industry CO.,LTD",四川省成都市新都工业开发区南二路,2539,新都化工
002540,亚太科技,江苏亚太轻合金科技股份有限公司,"Jiangsu Asia-Pacific Light Alloy Technology Co.,Ltd.",江苏省无锡市新区坊兴路8号,2540,亚太科技
002541,鸿路钢构,安徽鸿路钢结构(集团)股份有限公司,"Anhui Honglu Steel Construction(Group) CO., LTD",安徽省合肥市双凤工业区,2541,鸿路钢构
002542,中化岩土,中化岩土工程股份有限公司,"CHINA ZHONGHUA GEOTECHNICAL ENGINEERING CO.,LTD.",北京市大兴区北京市大兴工业开发区,2542,中化岩土
002543,万和电气,广东万和新电气股份有限公司,"GUANGDONG VANWARD NEW ELECTRIC CO.,LTD",广东省佛山市顺德高新区(容桂)建业中路13号,2543,万和电气
002544,杰赛科技,广州杰赛科技股份有限公司,"GCI SCIENCE&TECHNOLOGY CO.,LTD.",广东省广州市新港中路381号,2544,杰赛科技
002545,东方铁塔,青岛东方铁塔股份有限公司,"QINGDAO EAST STEEL TOWER STOCK CO.,LTD",山东省胶州市广州北路318号,2545,东方铁塔
002546,新联电子,南京新联电子股份有限公司,"Nanjing Xinlian Electronics Co.,Ltd.",江苏省南京市江宁经济技术开发区利源北路66号,2546,新联电子
002547,春兴精工,苏州春兴精工股份有限公司,"SuZhou ChunXing Precision Mechanical CO.,LTD.",江苏省苏州市苏州工业园区唯亭镇浦田路2号,2547,春兴精工
002548,金新农,深圳市金新农饲料股份有限公司,"Shenzhen Jinxinnong Feed Co.,Ltd.",广东省深圳市宝安区公明镇将石塘下围,2548,金新农
002549,凯美特气,湖南凯美特气体股份有限公司,"HUNAN KAIMEITE GASES CO.,LTD.",湖南省岳阳市岳阳楼区七里山（巴陵石化化肥事业部西门）,2549,凯美特气
002550,千红制药,常州千红生化制药股份有限公司,"Changzhou Qianhong Bio-pharma Co.,Ltd",江苏省常州市新北区长江中路90号,2550,千红制药
002551,尚荣医疗,深圳市尚荣医疗股份有限公司,"Shenzhen Glory Medical Co.,Ltd.",广东省深圳市龙岗区宝龙工业城宝龙5路2号尚荣科技工业园,2551,尚荣医疗
002552,宝鼎重工,宝鼎重工股份有限公司,"BAODING HEAVY INDUSTRY CO.,LTD.",浙江省杭州余杭区塘栖镇工业园区内,2552,宝鼎重工
002553,南方轴承,江苏南方轴承股份有限公司,"Jiangsu NanFang Bearing Co.,Ltd.",江苏省常州市武进高新技术开发区龙翔路,2553,南方轴承
002554,惠博普,华油惠博普科技股份有限公司,"CHINA OIL HBP SCIENCE&TECHNOLOGY CO.,LTD",北京市海淀区马甸东路17号11层1212,2554,惠博普
002555,顺荣股份,芜湖顺荣汽车部件股份有限公司,"Wuhu Shunrong Auto Parts Co.,Ltd.",安徽省芜湖市南陵县经济开发区,2555,顺荣股份
002556,辉隆股份,安徽辉隆农资集团股份有限公司,"Anhui HuiLong Agricultural Means of Production .CO.,LTD.",安徽省合肥市蜀山区祁门路1777号,2556,辉隆股份
002557,洽洽食品,洽洽食品股份有限公司,"Chacha Food Co.,Ltd",安徽省合肥市经济技术开发区莲花路,2557,洽洽食品
002558,世纪游轮,重庆新世纪游轮股份有限公司,"Chongqing New Century Cruise Co.,Ltd.",重庆市南岸区江南大道8号万达广场一栋5层,2558,世纪游轮
002559,亚威股份,江苏亚威机床股份有限公司,"JIANGSU YAWEI MACHINE TOOL CO.,LTD",江苏省扬州市江都区黄海南路仙城工业园,2559,亚威股份
002560,通达股份,河南通达电缆股份有限公司,"HENAN TONG-DA CABLE CO.,LTD.",河南省偃师市史家湾工业区,2560,通达股份
002561,徐家汇,上海徐家汇商城股份有限公司,"Shanghai Xujiahui Commercial Co.,Ltd.",上海市肇嘉浜路1068号,2561,徐家汇
002562,兄弟科技,兄弟科技股份有限公司,"Brother Enterprises Holding Co.,Ltd.",浙江省海宁市周王庙镇联民村蔡家石桥3号,2562,兄弟科技
002563,森马服饰,浙江森马服饰股份有限公司,"Zhejiang Semir Garment Co.,Ltd.",浙江省温州市瓯海区娄桥工业园南汇路98号,2563,森马服饰
002564,张化机,张家港化工机械股份有限公司,"ZHANGJIAGANG CHEMICAL MACHINERY CO.,LTD.",江苏省苏州张家港市金港镇后塍澄杨路20号,2564,张化机
002565,上海绿新,上海绿新包装材料科技股份有限公司,"ShangHai LuXin Packing Materials Science&Technology Co.,Ltd",上海市真陈路200号,2565,上海绿新
002566,益盛药业,吉林省集安益盛药业股份有限公司,"JILIN JIAN YISHENG PHARMACEUTICAL CO.,LTD.",吉林省集安市文化东路17-20号,2566,益盛药业
002567,唐人神,唐人神集团股份有限公司,"Tangrenshen Group Co.,Ltd.",湖南省株洲市国家高新技术产业开发区栗雨工业园,2567,唐人神
002568,百润股份,上海百润香精香料股份有限公司,"Shanghai Bairun Flavor & Fragrance Co.,Ltd",上海市康桥工业区康桥东路558号,2568,百润股份
002569,步森股份,浙江步森服饰股份有限公司,"ZHEJIANG BUSEN GARMENTS CO.,LTD.",浙江省诸暨市枫桥镇步森大道419号,2569,步森股份
002570,贝因美,贝因美婴童食品股份有限公司,"Beingmate Baby & Child Food Co., Ltd.",浙江省杭州市滨江区南环路3758号,2570,贝因美
002571,德力股份,安徽德力日用玻璃股份有限公司,"Anhui Deli Household Glass Co.,Ltd.",安徽省滁州市凤阳县工业园,2571,德力股份
002572,索菲亚,索菲亚家居股份有限公司,Suofeiya Home Collection Co. Ltd,广东省广州市增城市新塘镇宁西工业园,2572,索菲亚
002573,国电清新,北京国电清新环保技术股份有限公司,"Beijing SPC Environment Protection Tech Co.,Ltd.",北京市海淀区西八里庄路69号人民政协报大厦10层,2573,国电清新
002574,明牌珠宝,浙江明牌珠宝股份有限公司,"Zhejiang Ming Jewelry Co.,Ltd",浙江省绍兴县福全工业区,2574,明牌珠宝
002575,群兴玩具,广东群兴玩具股份有限公司,"Guangdong Qunxing Toys Joint-Stock Co.,LTD",广东省汕头市澄海区莱芜经济开发试验区莱美工业区,2575,群兴玩具
002576,通达动力,江苏通达动力科技股份有限公司,"Jiangsu Tongda Power Technology Co.,Ltd.",江苏省南通市通州区四安镇庵东村,2576,通达动力
002577,雷柏科技,深圳雷柏科技股份有限公司,"Shenzhen Rapoo Technology Co.,Ltd.",广东省深圳市坪山新区坑梓街道大工业区锦绣东路22号,2577,雷柏科技
002578,闽发铝业,福建省闽发铝业股份有限公司,"FUJIAN MINFA ALUMINIUM CO.,LTD.",福建省南安市南美综合开发区,2578,闽发铝业
002579,中京电子,惠州中京电子科技股份有限公司,"Huizhou China Eagle Electronic Technology Co.,Ltd.",广东省惠州市鹅岭南路七巷三号,2579,中京电子
002580,圣阳股份,山东圣阳电源股份有限公司,"SHANDONG SACRED SUN POWER SOURCES CO.,LTD.",山东省曲阜市圣阳路1号,2580,圣阳股份
002581,万昌科技,淄博万昌科技股份有限公司,"ZIBO WANCHANG SCIENCE & TECHNOLOGY CO.,LTD.",山东省淄博市张店区朝阳路18号,2581,万昌科技
002582,好想你,好想你枣业股份有限公司,"Haoxiangni Jujube Co.,Ltd.",河南省新郑市薛店镇,2582,好想你
002583,海能达,海能达通信股份有限公司,Hytera Communications Corporation Limited,广东省深圳市南山区高新区北区北环路9108号海能达大厦,2583,海能达
002584,西陇化工,西陇化工股份有限公司,"XILONG CHEMICAL CO.,LTD.",广东省汕头市潮汕路西陇中街1-3号,2584,西陇化工
002585,双星新材,江苏双星彩塑新材料股份有限公司,"JIANGSU SHUANGXING COLOR PLASTIC NEW MATERIALS CO.,LTD.",江苏省宿迁市宿豫区彩塑工业园区井头街1号,2585,双星新材
002586,围海股份,浙江省围海建设集团股份有限公司,"ZHEJIANG RECLAIM CONSTRUCTION GROUP CO.,LTD.",浙江省宁波市高新区广贤路1009号,2586,围海股份
002587,奥拓电子,深圳市奥拓电子股份有限公司,"Shenzhen AOTO Electronics Co.,Ltd.",广东省深圳市南山区深南大道高新技术工业村T2厂房T2A6-B,2587,奥拓电子
002588,史丹利,史丹利化肥股份有限公司,"STANLEY FERTILIZER CO.,LTD.",山东省临沂市临沭县城常林东大街东首,2588,史丹利
002589,瑞康医药,山东瑞康医药股份有限公司,"Shandong Realcan Pharmaceutical Co.,Ltd.",山东省烟台市芝罘区机场路326号,2589,瑞康医药
002590,万安科技,浙江万安科技股份有限公司,"ZheJiang Vie Science&Technology Co.,Ltd.",浙江省诸暨市店口镇工业区,2590,万安科技
002591,恒大高新,江西恒大高新技术股份有限公司,"JIANGXI HENGDA HI-TECH CO.,LTD.",江西省南昌市高新区金庐北路88号,2591,恒大高新
002592,八菱科技,南宁八菱科技股份有限公司,"Nanning Baling Technology Co.,Ltd",广西壮族自治区南宁市高新区工业园区科德路1号,2592,八菱科技
002593,日上集团,厦门日上车轮集团股份有限公司,"Xiamen Sunrise Wheel Group Co.,Ltd.",福建省厦门市集美区杏林杏北路30号,2593,日上集团
002594,比亚迪,比亚迪股份有限公司,BYD COMPANY LIMITED,广东省深圳市龙岗区葵涌镇延安路,2594,比亚迪
002595,豪迈科技,山东豪迈机械科技股份有限公司,"HIMILE MECHANICAL SCIENCE&TECHNOLOGY CO.,LTD",山东省高密市密水科技工业园豪迈路1号,2595,豪迈科技
002596,海南瑞泽,海南瑞泽新型建材股份有限公司,"Hainan RuiZe New Building Material Co.,Ltd.",海南省三亚市吉阳镇迎宾大道488号,2596,海南瑞泽
002597,金禾实业,安徽金禾实业股份有限公司,"ANHUI JINHE INDUSTRIAL CO.,LTD",安徽省来安县城东大街127号,2597,金禾实业
002598,山东章鼓,山东省章丘鼓风机股份有限公司,"SHANDONG ZHANGQIU BLOWER CO.,LTD",山东省章丘市明水经济开发区世纪大道东首,2598,山东章鼓
002599,盛通股份,北京盛通印刷股份有限公司,"Beijing Shengtong Printing Co.,Ltd",北京市北京经济技术开发区经海三路18号,2599,盛通股份
002600,江粉磁材,广东江粉磁材股份有限公司,"JPMF GUANGDONG Co.,LTD.",广东省江门市龙湾路8号,2600,江粉磁材
002601,佰利联,河南佰利联化学股份有限公司,"Henan Billions Chemicals Co., Ltd.",河南省焦作市中站区西,2601,佰利联
002602,世纪华通,浙江世纪华通车业股份有限公司,"ZHEJIANG CENTURY HUATONG AUTOMOTIVE PART CO.,LTD",浙江省上虞市经济开发区人民西路439号,2602,世纪华通
002603,以岭药业,石家庄以岭药业股份有限公司,"SHIJIAZHUANG YILING PHARMACEUTICAL CO.,LTD",河北省石家庄市高新技术产业开发区天山大街238号,2603,以岭药业
002604,龙力生物,山东龙力生物科技股份有限公司,"SHANDONG LONGLIVE BIO-TECHNOLOGY CO.,LTD.",山东省禹城高新技术开发区,2604,龙力生物
002605,姚记扑克,上海姚记扑克股份有限公司,"Shanghai Yaoji Playing Card Co.,Ltd.",上海市嘉定区黄渡镇曹安路4218号,2605,姚记扑克
002606,大连电瓷,大连电瓷集团股份有限公司,"DALIAN INSULATOR GROUP CO.,LTD.",辽宁省大连经济技术开发区双D港辽河东路88号,2606,大连电瓷
002607,亚夏汽车,芜湖亚夏汽车股份有限公司,Wuhu Yaxia Automobile Corporation,安徽省芜湖市鸠江区弋江北路花塘村,2607,亚夏汽车
002608,舜天船舶,江苏舜天船舶股份有限公司,Sainty Marine Corporation Ltd.,江苏省南京市雨花台区软件大道21号,2608,舜天船舶
002609,捷顺科技,深圳市捷顺科技实业股份有限公司,"SHENZHEN JIESHUN SCIENCE AND TECHNOLOGY INDUSTRY CO.,LTD.",广东省深圳市福田区梅林路捷顺大厦,2609,捷顺科技
002610,爱康科技,江苏爱康科技股份有限公司,"Jiangsu Akcome Science&Technology Co.,Ltd.",江苏省江阴市华士工业集中区红苗园区勤丰路1015号,2610,爱康科技
002611,东方精工,广东东方精工科技股份有限公司,"GUANGDONG DONGFANG PRECISION SCIENCE & TECHNOLOGY CO.,LTD",广东省佛山市南海区狮山大道北段,2611,东方精工
002612,朗姿股份,朗姿股份有限公司,"LANCY CO.,LTD",北京市顺义区马坡镇白马路63号,2612,朗姿股份
002613,北玻股份,洛阳北方玻璃技术股份有限公司,"LUOYANG NORTH GLASS TECHNOLOGY CO.,LTD.",河南省洛阳高新开发区滨河路20号,2613,北玻股份
002614,蒙发利,厦门蒙发利科技(集团)股份有限公司,"XIAMEN COMFORT SCIENCE&TECHNOLOGY GROUP CO.,LTD.",福建省厦门市前埔路168号,2614,蒙发利
002615,哈尔斯,浙江哈尔斯真空器皿股份有限公司,"ZHEJIANG HAERS VACUUM CONTAINERS CO.,LTD",浙江省永康经济开发区哈尔斯路1号,2615,哈尔斯
002616,长青集团,广东长青（集团）股份有限公司,GUANGDONG CHANT GROUP INC.,广东省中山市小榄工业大道南42号,2616,长青集团
002617,露笑科技,露笑科技股份有限公司,"Roshow Technology Co., Ltd.",浙江省诸暨市店口镇露笑路38号,2617,露笑科技
002618,丹邦科技,深圳丹邦科技股份有限公司,"Shenzhen Danbond Technology Co.,Ltd.",广东省深圳市南山区高新园朗山一路丹邦科技大楼,2618,丹邦科技
002619,巨龙管业,浙江巨龙管业股份有限公司,"ZHEJIANG DRAGON PIPE MANUFACTURING CO.,LTD.",浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）,2619,巨龙管业
002620,瑞和股份,深圳瑞和建筑装饰股份有限公司,"SHENZHEN RUIHE CONSTRUCTION DECORATION CO.,LTD.",广东省深圳市福田区华强北赛格科技园4栋西十楼A座,2620,瑞和股份
002621,大连三垒,大连三垒机器股份有限公司,"Dalian Sunlight Machinery Co.,Ltd.",辽宁省大连高新技术产业园区七贤岭爱贤街33号,2621,大连三垒
002622,永大集团,吉林永大集团股份有限公司,"Jilin Yongda Group CO.,LTD.",吉林省吉林市高新区吉林大街45-1号,2622,永大集团
002623,亚玛顿,常州亚玛顿股份有限公司,"Changzhou Almaden Co.,Ltd.",江苏省常州市青龙东路639号,2623,亚玛顿
002624,金磊股份,浙江金磊高温材料股份有限公司,"Zhejiang Jinlei Refractories Co.,Ltd.",浙江省湖州市德清县钟管镇龙山路117号,2624,金磊股份
002625,龙生股份,浙江龙生汽车部件股份有限公司,"Zhejiang Longsheng Auto Parts Co.,Ltd",浙江省桐庐县富春江镇俞赵工业功能区988号,2625,龙生股份
002626,金达威,厦门金达威集团股份有限公司,Xiamen Kingdomway Group Company,福建省厦门市海沧新阳工业区,2626,金达威
002627,宜昌交运,湖北宜昌交运集团股份有限公司,"HUBEIYICHANG TRANSPORTATION GROUP CO.,LTD.",湖北省宜昌市港窑路5号,2627,宜昌交运
002628,成都路桥,成都市路桥工程股份有限公司,"Chengdu Road & Bridge Engineering CO.,LTD.",四川省成都市武侯区武科东四路11号,2628,成都路桥
002629,仁智油服,四川仁智油田技术服务股份有限公司,"Sichuan Renzhi Oilfield Technology Services Co.,Ltd.",四川省绵阳市滨河北路东段116号,2629,仁智油服
002630,华西能源,华西能源工业股份有限公司,"China Western Power Industrial Co.,Ltd.",四川省自贡市高新工业园区荣川路66号,2630,华西能源
002631,德尔家居,德尔国际家居股份有限公司,"Der International Home Furnishing Co.,LTD.",江苏省苏州吴江市七都镇人民东路,2631,德尔家居
002632,道明光学,道明光学股份有限公司,"Daoming Optics&Chemical Co., Ltd.",浙江省永康市象珠镇象珠工业区3号迎宾大道1号,2632,道明光学
002633,申科股份,申科滑动轴承股份有限公司,SHENKE SLIDE BEARING CORPORATION,浙江省诸暨市望云路132号,2633,申科股份
002634,棒杰股份,浙江棒杰数码针织品股份有限公司,"Zhejiang Bangjie Digital Knitting Share Co.,Ltd.",浙江省义乌市苏溪镇镇南小区,2634,棒杰股份
002635,安洁科技,苏州安洁科技股份有限公司,"SUZHOU ANJIE TECHNOLOGY CO.,LTD.",江苏省苏州市吴中区光福镇福锦路8号,2635,安洁科技
002636,金安国纪,金安国纪科技股份有限公司,Goldenmax International Technology Ltd.,上海市松江工业区宝胜路33号,2636,金安国纪
002637,赞宇科技,浙江赞宇科技股份有限公司,"ZHEJIANG ZANYU TECHNOLOGY CO.,LTD",浙江省杭州市城头巷128号,2637,赞宇科技
002638,勤上光电,东莞勤上光电股份有限公司,"DONGGUAN KINGSUN OPTOELECTRONIC CO.,LTD.",广东省东莞市常平镇横江厦村,2638,勤上光电
002639,雪人股份,福建雪人股份有限公司,"Fujian Snowman Co., Ltd.",福建省福州滨海工业区(松下镇首祉村),2639,雪人股份
002640,百圆裤业,山西百圆裤业连锁经营股份有限公司,"Shanxi Baiyuan Trousers Chain Management Co.,Ltd.",山西省太原市建设南路632号,2640,百圆裤业
002641,永高股份,永高股份有限公司,"YONGGAO CO., LTD.",浙江省台州市黄岩经济开发区埭西路2号,2641,永高股份
002642,荣之联,北京荣之联科技股份有限公司,"United Electronics Co.,Ltd.",北京市海淀区北四环西路56号10层1002-1,2642,荣之联
002643,烟台万润,烟台万润精细化工股份有限公司,"Yantai Valiant Fine Chemicals Co.,Ltd",山东省烟台市经济技术开发区五指山路11号,2643,烟台万润
002644,佛慈制药,兰州佛慈制药股份有限公司,"Lanzhou Foci Pharmaceutical Co.,Ltd.",甘肃省兰州市城关区雁滩高新技术开发区,2644,佛慈制药
002645,华宏科技,江苏华宏科技股份有限公司,"Jiangsu Huahong Technology Stock Co.,Ltd.",江苏省江阴市周庄镇澄杨路1118号,2645,华宏科技
002646,青青稞酒,青海互助青稞酒股份有限公司,"Qinghai Huzhu Barley Wine Co.,Ltd.",青海省互助县威远镇西大街6号,2646,青青稞酒
002647,宏磊股份,浙江宏磊铜业股份有限公司,"ZHEJIANG HONGLEI COPPER CO.,LTD.",浙江省诸暨市大唐镇开元东路,2647,宏磊股份
002648,卫星石化,浙江卫星石化股份有限公司,"ZHEJIANG SATELLITE PETROCHEMICAL CO.,LTD.",浙江省嘉兴市嘉兴工业园区步焦路,2648,卫星石化
002649,博彦科技,博彦科技股份有限公司,BEYONDSOFT CORPORATION,北京市海淀区东北旺西路8号中关村软件园9号楼三区A座,2649,博彦科技
002650,加加食品,加加食品集团股份有限公司,"Jiajia Food Group Co.,Ltd.",湖南省长沙市宁乡县经济技术开发区站前路,2650,加加食品
002651,利君股份,成都利君实业股份有限公司,"Chengdu Leejun Industrial CO.,LTD.",四川省成都市武侯区武科东二路5号,2651,利君股份
002652,扬子新材,苏州扬子江新型材料股份有限公司,"SUZHOU YANGTZE NEW MATERIALS CO.,LTD.",江苏省苏州市相城区潘阳工业园春丰路88号,2652,扬子新材
002653,海思科,西藏海思科药业集团股份有限公司,"Xizang Haisco Pharmaceutical Group CO.,LTD",西藏自治区山南地区泽当镇香曲东路8号,2653,海思科
002654,万润科技,深圳万润科技股份有限公司,"SHENZHEN MASON TECHNOLOGIES CO.,LTD.",广东省深圳市光明新区光明办事处圳美公常路北侧雅盛科技工业园厂房B栋,2654,万润科技
002655,共达电声,山东共达电声股份有限公司,"SHAN DONG GETTOP ACCOUSTIC CO.,LTD.",山东省潍坊市坊子区凤山路68号,2655,共达电声
002656,卡奴迪路,广州卡奴迪路服饰股份有限公司,"Guangzhou CANUDILO Fashion & Accessories Co.,Ltd.",广东省广州市天河区黄埔大道西638号富力科讯大厦1310房,2656,卡奴迪路
002657,中科金财,北京中科金财科技股份有限公司,"SINODATA CO.,LTD.",北京市海淀区学院路51号楼首享科技大厦6层,2657,中科金财
002658,雪迪龙,北京雪迪龙科技股份有限公司,"Beijing SDL technology co.,ltd",北京市昌平区高新三街3号,2658,雪迪龙
002659,中泰桥梁,江苏中泰桥梁钢构股份有限公司,Jiangsu Zhongtai Bridge Steel Structure Co.Ltd,江苏省江阴-靖江工业园区同康路15号,2659,中泰桥梁
002660,茂硕电源,茂硕电源科技股份有限公司,"Moso Power Supply Technology Co.,Ltd.",广东省深圳市南山区松白路关外小白芒桑泰工业园6层,2660,茂硕电源
002661,克明面业,克明面业股份有限公司,"KEMEN NOODLE MANUFACTURING CO.,LTD",湖南省南县兴盛大道工业园1号,2661,克明面业
002662,京威股份,北京威卡威汽车零部件股份有限公司,"Beijing WKW Automotive Parts Co.,Ltd.",北京市大兴区魏永路(天堂河段)70号,2662,京威股份
002663,普邦园林,广州普邦园林股份有限公司,"PUBANG LANDSCAPE ARCHITECTURE CO.,LTD",广东省广州市越秀区寺右新马路南二街一巷14-20号首层,2663,普邦园林
002664,信质电机,信质电机股份有限公司,"Xin Zhi Motor Co.,Ltd.",浙江省台州市椒江区前所信质路28号,2664,信质电机
002665,首航节能,北京首航艾启威节能技术股份有限公司,"Beijing Shouhang Resources Saving Co.,Ltd",北京市大兴区榆顺路2号3号楼208室,2665,首航节能
002666,德联集团,广东德联集团股份有限公司,"Guangdong Delian Group Co.,Ltd.",广东省佛山市南海区小塘狮山新城开发区,2666,德联集团
