浦发银行
ST东北高
白云机场
武钢股份
东风汽车
中国国贸
首创股份
上海机场
包钢股份
华能国际
皖通高速
华夏银行
民生银行
日照港
上港集团
宝钢股份
中原高速
上海电力
济南钢铁
中海发展
华电国际
中国石化
南方航空
中信证券
三一重工
福建高速
楚天高速
招商银行
歌华有线
哈飞股份
四川路桥
保利地产
中国联通
宁波联合
浙江广厦
中江地产
黄山旅游
万东医疗
中国医药
五矿发展
古越龙山
海信电器
中纺投资
双鹤药业
皖维高新
南京高科
宇通客车
冠城大通
葛洲坝
银鸽投资
浙江富润
凤凰光学
中船股份
上海梅林
中达股份
新疆天业
*ST华光
百科集团
澄星股份
人福科技
ST金花
东风科技
海泰发展
ST博信
ST中葡
同仁堂
东方金钰
长航油运
中视传媒
特变电工
啤酒花
明天科技
禾嘉股份
哈高科
云天化
开创国际
广州控股
林海股份
同方股份
明星电力
莱钢股份
青山纸业
上海汽车
永鼎股份
重庆路桥
美尔雅
亚盛集团
国金证券
中科英华
包钢稀土
长征电气
浙江东日
东睦股份
ST东航
三峡水利
西宁特钢
中国卫星
长江投资
浙江东方
郑州煤电
宏图高科
兰花科创
铁龙物流
杭钢股份
金健米业
弘业股份
太极集团
*ST波导
岷江水电
重庆啤酒
东湖高新
乐凯胶片
道博股份
浪莎股份
中青旅
西部资源
兴发集团
金发科技
四维控股
大元股份
长春一东
*ST建通
中国船舶
航天机电
维科精华
建发股份
*ST宝硕
华升股份
鲁润股份
中体产业
大龙地产
巨化股份
天坛生物
香江控股
福建南纸
宁夏恒力
福田汽车
联美控股
武汉控股
太原重工
上海建工
上海贝岭
黄河旋风
卧龙地产
美都控股
中国玻纤
雅戈尔
东安动力
黑化股份
*ST九发
S佳通
生益科技
新华光
*ST海星
莲花味精
ST国中
兖州煤业
吉林森工
锦州港
华资实业
长城电工
创兴置业
中牧股份
复星医药
伊力特
大唐电信
金种子酒
江苏吴中
金宇集团
哈空调
福日电子
有研硅股
ST安彩
新湖中宝
罗顿发展
紫江企业
西藏药业
江泉实业
亚星客车
长春经开
浙江医药
*ST秦岭
全柴动力
南山铝业
江苏阳光
海南航空
太龙药业
ST鲁置业
ST松江
升华拜克
赤天化
昌九生化
青岛碱业
沧州大化
凌钢股份
金鹰股份
大杨创世
*ST天龙
民丰特纸
桂冠电力
铜峰电子
海南椰岛
云南城投
华业地产
时代万恒
ST华龙
青海华鼎
万通地产
成城股份
延长化建
两面针
南纺股份
冠农股份
中恒集团
*ST天方
鑫科材料
广汇股份
大湖股份
首旅股份
ST有色
凯乐科技
浙江阳光
北方股份
路桥建设
景谷林业
北京城建
海正药业
国电南自
赣粤高速
外运发展
航天信息
开开实业
华芳纺织
ST昌鱼
恒瑞医药
亿利能源
东方创业
重庆港九
南京中商
太化股份
